frame,events1_window,events2_window
62,8,13
63,68,116
64,122,198
65,110,188
66,80,106
67,67,76
68,62,79
69,70,58
70,66,65
71,58,59
72,50,61
73,57,59
74,66,54
75,56,53
76,38,28
77,48,55
78,69,56
79,51,57
80,61,46
81,66,54
82,55,46
83,64,53
84,62,45
85,48,59
86,57,55
87,74,58
88,63,61
89,56,64
90,54,59
91,62,64
92,53,62
93,58,59
94,35,27
95,86,62
96,60,54
97,60,54
98,66,46
99,63,120
100,82,1270
101,109,1912
102,109,1995
103,113,1642
104,115,1132
105,96,779
106,62,510
107,65,315
108,80,187
109,81,160
110,67,105
111,62,71
112,67,63
113,66,83
114,69,64
115,57,81
116,65,77
117,66,76
118,65,55
119,62,63
120,74,60
121,57,53
122,63,58
123,77,75
124,52,55
125,44,42
126,46,44
127,50,36
128,63,52
129,78,77
130,78,64
131,58,61
132,56,56
133,70,55
134,60,61
135,74,61
136,62,66
137,65,60
138,61,67
139,61,59
140,61,64
141,67,63
142,73,78
143,72,55
144,57,76
145,64,55
146,102,442
147,133,2511
148,112,2059
149,124,1789
150,120,1316
151,105,822
152,97,513
153,89,341
154,89,210
155,62,161
156,63,88
157,43,48
158,46,37
159,34,22
160,28,16
161,33,35
162,27,18
163,21,25
164,27,19
165,19,31
166,26,43
167,32,38
168,31,39
169,34,32
170,33,38
171,31,31
172,17,15
173,23,27
174,28,28
175,37,36
176,33,37
177,44,36
178,31,39
179,27,37
180,33,36
181,31,44
182,29,41
183,31,28
184,40,30
185,22,36
186,30,36
187,31,42
188,31,51
189,39,42
190,32,28
191,29,33
192,31,40
193,26,98
194,35,383
195,24,280
196,22,269
197,29,331
198,38,366
199,67,326
200,53,262
201,41,220
202,36,157
203,36,107
204,38,67
205,45,68
206,32,46
207,40,47
208,35,33
209,27,35
210,33,37
211,48,41
212,44,46
213,48,35
214,31,30
215,38,33
216,38,31
217,40,40
218,35,27
219,39,37
220,43,46
221,37,40
222,47,48
223,51,39
224,48,33
225,40,37
226,48,49
227,51,39
228,46,45
229,50,47
230,45,36
231,45,35
232,56,36
233,40,33
234,45,30
235,52,35
236,40,42
237,45,28
238,41,43
239,37,24
