n_points,success,message,A,A_err,t_0,t_0_err,tau,tau_err,C,C_err,rss
3,True,ok,162.8847795534374,1.0954637575341426,65.0,0.0,0.9788333362263965,0.01555223968515714,64.0,0.0,1.2133166088379972
4,True,ok,161.4717276262591,12.182906411261774,65.0,0.0,1.06781231566181,0.17642898687602776,64.0,0.0,303.1306807058699
5,True,ok,161.11815998148285,10.514507460755459,65.0,0.0,1.0865494861498761,0.1519412865326644,64.0,0.0,339.9223262538162
6,True,ok,160.871051708592,9.79301972787834,65.0,0.0,1.0986292049556812,0.14212675724086857,64.0,0.0,393.844418696674
7,True,ok,160.79365676767083,8.961085198697555,65.0,0.0,1.1022358783351536,0.1302456416473356,64.0,0.0,412.4263251535749
8,True,ok,160.75144156888834,8.397231364061241,65.0,0.0,1.1041438386915767,0.12218341769208677,64.0,0.0,434.68417092037794
9,True,ok,160.73906896135787,7.848172053293939,65.0,0.0,1.104691112937716,0.11423202566698856,64.0,0.0,443.008021206649
10,True,ok,160.74115398657497,7.3503828775928115,65.0,0.0,1.1046003318720445,0.10697871793778556,64.0,0.0,444.10325587434295
11,True,ok,160.74389165469145,7.000784900888231,65.0,0.0,1.1044825905055384,0.10188203503218946,64.0,0.0,453.2164363159479
12,True,ok,160.75526552317658,10.975440321819008,65.0,0.0,1.1039981387672468,0.15967088682366617,64.0,0.0,1237.6412106781372
13,True,ok,160.75472583456013,10.50256363474794,65.0,0.0,1.1040209466048954,0.1527938950922678,64.0,0.0,1246.6228632832813
14,True,ok,160.75480527540503,10.059482904676374,65.0,0.0,1.1040176065464118,0.14634750228997043,64.0,0.0,1247.6253384876343
15,True,ok,160.75466599953074,9.726595837803144,65.0,0.0,1.1040234172238377,0.1415051667729891,64.0,0.0,1263.6213389631614
